Seconds,Dialnorm,InputIntegratedLoudness,InputShortTermLoudness,InputLoudnessRange,InputMomentaryLoudness,InputMaxLoudness,InputMinLoudness,OutputIntegratedLoudness,OutputShortTermLoudness,OutputLoudnessRange,OutputMomentaryLoudness,OutputMaxLoudness,OutputMinLoudness
1,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
2,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
3,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
4,0,-19.961555,-20.221775,0.514372,-20.522499,-19.512244,-20.539291,-23.008716,-23.305006,0.563307,-23.673773,-22.431278,-23.673773
5,0,-19.961555,-20.221775,0.514372,-20.522499,-19.512244,-20.539291,-23.008716,-23.305006,0.563307,-23.673773,-22.431278,-23.673773
6,0,-19.961555,-20.221775,0.514372,-20.522499,-19.512244,-20.539291,-23.008716,-23.305006,0.563307,-23.673773,-22.431278,-23.673773
7,0,-20.001640,-20.059049,0.569227,-19.408994,-19.408994,-20.539291,-23.040912,-23.075521,0.563307,-22.433996,-22.431278,-23.673773
8,0,-20.001640,-20.059049,0.569227,-19.408994,-19.408994,-20.539291,-23.040912,-23.075521,0.563307,-22.433996,-22.431278,-23.673773
9,0,-20.001640,-20.059049,0.569227,-19.408994,-19.408994,-20.539291,-23.040912,-23.075521,0.563307,-22.433996,-22.431278,-23.673773
10,0,-19.928905,-20.007181,0.729941,-19.977183,-19.290798,-20.539291,-22.959836,-23.022909,0.732206,-22.977531,-22.278945,-23.673773
11,0,-19.928905,-20.007181,0.729941,-19.977183,-19.290798,-20.539291,-22.959836,-23.022909,0.732206,-22.977531,-22.278945,-23.673773
12,0,-19.928905,-20.007181,0.729941,-19.977183,-19.290798,-20.539291,-22.959836,-23.022909,0.732206,-22.977531,-22.278945,-23.673773
13,0,-19.931444,-20.052605,0.638767,-19.837044,-19.290798,-20.539291,-22.960918,-23.078146,0.643140,-22.846014,-22.278945,-23.673773
14,0,-19.931444,-20.052605,0.638767,-19.837044,-19.290798,-20.539291,-22.960918,-23.078146,0.643140,-22.846014,-22.278945,-23.673773
15,0,-19.931444,-20.052605,0.638767,-19.837044,-19.290798,-20.539291,-22.960918,-23.078146,0.643140,-22.846014,-22.278945,-23.673773
16,0,-19.886515,-19.508798,0.675086,-20.051885,-19.238595,-20.539291,-22.915821,-22.532628,0.704457,-23.089108,-22.259505,-23.673773
17,0,-19.886515,-19.508798,0.675086,-20.051885,-19.238595,-20.539291,-22.915821,-22.532628,0.704457,-23.089108,-22.259505,-23.673773
18,0,-19.886515,-19.508798,0.675086,-20.051885,-19.238595,-20.539291,-22.915821,-22.532628,0.704457,-23.089108,-22.259505,-23.673773
19,0,-19.926207,-20.284426,0.729941,-20.329742,-19.238595,-20.607107,-22.954609,-23.296115,0.723315,-23.390591,-22.259505,-23.673773
20,0,-19.926207,-20.284426,0.729941,-20.329742,-19.238595,-20.607107,-22.954609,-23.296115,0.723315,-23.390591,-22.259505,-23.673773
21,0,-19.926207,-20.284426,0.729941,-20.329742,-19.238595,-20.607107,-22.954609,-23.296115,0.723315,-23.390591,-22.259505,-23.673773
22,0,-19.911051,-19.699502,0.729941,-19.706258,-19.238595,-20.607107,-22.939200,-22.735975,0.723315,-22.721348,-22.259505,-23.673773
23,0,-19.911051,-19.699502,0.729941,-19.706258,-19.238595,-20.607107,-22.939200,-22.735975,0.723315,-22.721348,-22.259505,-23.673773
24,0,-19.911051,-19.699502,0.729941,-19.706258,-19.238595,-20.607107,-22.939200,-22.735975,0.723315,-22.721348,-22.259505,-23.673773
25,0,-19.920741,-20.281990,0.735301,-19.796044,-19.238595,-20.607107,-22.948716,-23.317094,0.732206,-22.859714,-22.259505,-23.673773
26,0,-19.920741,-20.281990,0.735301,-19.796044,-19.238595,-20.607107,-22.948716,-23.317094,0.732206,-22.859714,-22.259505,-23.673773
27,0,-19.920741,-20.281990,0.735301,-19.796044,-19.238595,-20.607107,-22.948716,-23.317094,0.732206,-22.859714,-22.259505,-23.673773
28,0,-19.922793,-19.699104,0.653552,-19.577218,-19.238595,-20.607107,-22.951138,-22.740800,0.645956,-22.664173,-22.259505,-23.673773
29,0,-19.922793,-19.699104,0.653552,-19.577218,-19.238595,-20.607107,-22.951138,-22.740800,0.645956,-22.664173,-22.259505,-23.673773
30,0,-19.922793,-19.699104,0.653552,-19.577218,-19.238595,-20.607107,-22.951138,-22.740800,0.645956,-22.664173,-22.259505,-23.673773
31,0,-19.938527,-20.028312,0.648193,-20.677495,-19.238595,-20.842023,-22.966321,-23.052003,0.637065,-23.704867,-22.259505,-23.842165
32,0,-19.938527,-20.028312,0.648193,-20.677495,-19.238595,-20.842023,-22.966321,-23.052003,0.637065,-23.704867,-22.259505,-23.842165
33,0,-19.938527,-20.028312,0.648193,-20.677495,-19.238595,-20.842023,-22.966321,-23.052003,0.637065,-23.704867,-22.259505,-23.842165
34,0,-19.950705,-19.647347,0.666462,-19.819831,-19.238595,-20.842023,-22.979064,-22.663116,0.663287,-22.822089,-22.259505,-23.842165
35,0,-19.950705,-19.647347,0.666462,-19.819831,-19.238595,-20.842023,-22.979064,-22.663116,0.663287,-22.822089,-22.259505,-23.842165
36,0,-19.950705,-19.647347,0.666462,-19.819831,-19.238595,-20.842023,-22.979064,-22.663116,0.663287,-22.822089,-22.259505,-23.842165
37,0,-19.939553,-19.832612,0.655990,-19.965208,-19.238595,-20.842023,-22.967422,-22.861669,0.658044,-22.987273,-22.259505,-23.842165
38,0,-19.939553,-19.832612,0.655990,-19.965208,-19.238595,-20.842023,-22.967422,-22.861669,0.658044,-22.987273,-22.259505,-23.842165
39,0,-19.939553,-19.832612,0.655990,-19.965208,-19.238595,-20.842023,-22.967422,-22.861669,0.658044,-22.987273,-22.259505,-23.842165
40,0,-19.953042,-20.071113,0.666462,-19.715075,-19.238595,-20.842023,-22.980378,-23.098006,0.663287,-22.845922,-22.259505,-23.842165
41,0,-19.953042,-20.071113,0.666462,-19.715075,-19.238595,-20.842023,-22.980378,-23.098006,0.663287,-22.845922,-22.259505,-23.842165
42,0,-19.953042,-20.071113,0.666462,-19.715075,-19.238595,-20.842023,-22.980378,-23.098006,0.663287,-22.845922,-22.259505,-23.842165
43,0,-19.940640,-19.952625,0.666462,-20.518737,-19.238595,-20.842023,-22.968545,-23.008714,0.663287,-23.571401,-22.259505,-23.842165
44,0,-19.940640,-19.952625,0.666462,-20.518737,-19.238595,-20.842023,-22.968545,-23.008714,0.663287,-23.571401,-22.259505,-23.842165
45,0,-19.940640,-19.952625,0.666462,-20.518737,-19.238595,-20.842023,-22.968545,-23.008714,0.663287,-23.571401,-22.259505,-23.842165
46,0,-19.948760,-20.220950,0.655990,-19.627929,-19.238595,-20.842023,-22.976332,-23.218086,0.658044,-22.804625,-22.259505,-23.842165
47,0,-19.948760,-20.220950,0.655990,-19.627929,-19.238595,-20.842023,-22.976332,-23.218086,0.658044,-22.804625,-22.259505,-23.842165
48,0,-19.948760,-20.220950,0.655990,-19.627929,-19.238595,-20.842023,-22.976332,-23.218086,0.658044,-22.804625,-22.259505,-23.842165
49,0,-19.939839,-19.767637,0.655990,-19.750825,-19.238595,-20.842023,-22.967699,-22.783709,0.658044,-22.718303,-22.259505,-23.842165
50,0,-19.939839,-19.767637,0.655990,-19.750825,-19.238595,-20.842023,-22.967699,-22.783709,0.658044,-22.718303,-22.259505,-23.842165
51,0,-19.939839,-19.767637,0.655990,-19.750825,-19.238595,-20.842023,-22.967699,-22.783709,0.658044,-22.718303,-22.259505,-23.842165
52,0,-19.948854,-20.070212,0.653552,-20.066001,-19.238595,-20.842023,-22.976725,-23.138382,0.645956,-22.949982,-22.259505,-23.842165
53,0,-19.948854,-20.070212,0.653552,-20.066001,-19.238595,-20.842023,-22.976725,-23.138382,0.645956,-22.949982,-22.259505,-23.842165
54,0,-19.948854,-20.070212,0.653552,-20.066001,-19.238595,-20.842023,-22.976725,-23.138382,0.645956,-22.949982,-22.259505,-23.842165
55,0,-19.949096,-19.913833,0.653552,-19.806130,-19.238595,-20.842023,-22.976694,-22.888534,0.645956,-22.786124,-22.259505,-23.842165
56,0,-19.949096,-19.913833,0.653552,-19.806130,-19.238595,-20.842023,-22.976694,-22.888534,0.645956,-22.786124,-22.259505,-23.842165
57,0,-19.949096,-19.913833,0.653552,-19.806130,-19.238595,-20.842023,-22.976694,-22.888534,0.645956,-22.786124,-22.259505,-23.842165
58,0,-19.952376,-20.101562,0.644126,-20.249393,-19.238595,-20.842023,-22.980156,-23.123364,0.643140,-23.408298,-22.259505,-23.842165
59,0,-19.952376,-20.101562,0.644126,-20.249393,-19.238595,-20.842023,-22.980156,-23.123364,0.643140,-23.408298,-22.259505,-23.842165
60,0,-19.952376,-20.101562,0.644126,-20.249393,-19.238595,-20.842023,-22.980156,-23.123364,0.643140,-23.408298,-22.259505,-23.842165
61,0,-19.955016,-20.009708,0.644126,-19.978942,-19.193389,-20.842023,-22.982719,-23.005145,0.643140,-22.918534,-22.259505,-23.842165
62,0,-19.955016,-20.009708,0.644126,-19.978942,-19.193389,-20.842023,-22.982719,-23.005145,0.643140,-22.918534,-22.259505,-23.842165
63,0,-19.955016,-20.009708,0.644126,-19.978942,-19.193389,-20.842023,-22.982719,-23.005145,0.643140,-22.918534,-22.259505,-23.842165
64,0,-19.950250,-19.865088,0.644126,-20.423927,-19.193389,-20.842023,-22.978303,-22.910244,0.643140,-23.255134,-22.259505,-23.842165
65,0,-19.950250,-19.865088,0.644126,-20.423927,-19.193389,-20.842023,-22.978303,-22.910244,0.643140,-23.255134,-22.259505,-23.842165
66,0,-19.950250,-19.865088,0.644126,-20.423927,-19.193389,-20.842023,-22.978303,-22.910244,0.643140,-23.255134,-22.259505,-23.842165
67,0,-19.953508,-19.950908,0.638767,-20.161021,-19.193389,-20.842023,-22.981727,-23.001175,0.634248,-23.336532,-22.259505,-23.842165
68,0,-19.953508,-19.950908,0.638767,-20.161021,-19.193389,-20.842023,-22.981727,-23.001175,0.634248,-23.336532,-22.259505,-23.842165
69,0,-19.953508,-19.950908,0.638767,-20.161021,-19.193389,-20.842023,-22.981727,-23.001175,0.634248,-23.336532,-22.259505,-23.842165
70,0,-19.952613,-19.939927,0.638767,-20.154998,-19.193389,-20.842023,-22.980175,-22.963433,0.634248,-23.137093,-22.259505,-23.842165
71,0,-19.952613,-19.939927,0.638767,-20.154998,-19.193389,-20.842023,-22.980175,-22.963433,0.634248,-23.137093,-22.259505,-23.842165
72,0,-19.952613,-19.939927,0.638767,-20.154998,-19.193389,-20.842023,-22.980175,-22.963433,0.634248,-23.137093,-22.259505,-23.842165
